shipment_id,Date,TRUE,Delay,Late
163831,2018-08-10,2018-08-13,3,TRUE
163966,2018-08-10,2018-08-13,3,TRUE
163979,2018-08-16,,,FALSE
163981,2018-08-13,,,FALSE
164092,2018-08-10,2018-08-14,4,TRUE
164106,2018-08-13,2018-08-14,1,TRUE
164113,2018-08-10,,,FALSE
164143,2018-08-10,,,FALSE
164153,2018-08-13,2018-08-14,1,TRUE
164159,2018-08-13,2018-08-13,0,TRUE
164172,2018-08-10,2018-08-13,3,TRUE
164200,2018-08-10,2018-08-13,3,TRUE
164211,2018-08-13,2018-08-13,0,TRUE
164218,2018-08-13,2018-08-14,1,TRUE
164243,2018-08-13,2018-08-14,1,TRUE
164246,2018-08-10,2018-08-13,3,TRUE
164331,2018-08-14,2018-08-14,0,TRUE
164332,2018-08-13,,,FALSE
164348,2018-08-13,,,FALSE
164351,2018-08-10,,,FALSE
164562,2018-08-13,2018-08-14,1,TRUE
164564,2018-08-13,2018-08-14,1,TRUE
164566,2018-08-13,2018-08-14,1,TRUE
164572,2018-08-13,2018-08-14,1,TRUE
164584,2018-08-13,2018-08-14,1,TRUE
164595,2018-08-13,2018-08-14,1,TRUE
164596,2018-08-13,2018-08-15,2,TRUE
164624,2018-08-14,2018-08-15,1,TRUE
164659,2018-08-13,2018-08-14,1,TRUE
164666,2018-08-13,2018-08-14,1,TRUE
164688,2018-08-13,2018-08-14,1,TRUE
164698,2018-08-13,2018-08-14,1,TRUE
164710,2018-08-13,2018-08-14,1,TRUE
164720,2018-08-13,2018-08-14,1,TRUE
164729,2018-08-13,2018-08-14,1,TRUE
164734,2018-08-13,2018-08-14,1,TRUE
164765,2018-08-13,2018-08-14,1,TRUE
164793,2018-08-15,2018-08-13,-2,TRUE
164812,2018-08-13,2018-08-14,1,TRUE
164854,2018-08-13,2018-08-14,1,TRUE
164919,2018-08-13,,,FALSE
165284,2018-08-15,2018-08-17,2,TRUE
