shipment_id,tracking_activity_id,created_on,tracking_activity_type,scheduled_date,responsible_party,pickup_is_late
165284,416823,2018-08-14 17:03:32,PICKUP_SCHEDULED,2018-08-15,,
165284,416824,2018-08-14 17:03:32,DELIVERY_ESTIMATED,2018-08-20,,
165284,416825,2018-08-14 17:05:03,PICKUP_SCHEDULED,2018-08-17,CUSTOMER,TRUE
165284,416826,2018-08-14 17:06:03,PICKUP_SCHEDULED,2018-08-17,CUSTOMER,TRUE
165284,416828,2018-08-14 17:06:32,DELIVERY_ESTIMATED,2018-08-22,CUSTOMER,
164919,414876,2018-08-13 19:05:29,PICKUP_SCHEDULED,2018-08-13,,
164919,414877,2018-08-13 19:05:29,DELIVERY_ESTIMATED,2018-08-14,,
164854,414791,2018-08-13 18:25:43,PICKUP_SCHEDULED,2018-08-13,,
164854,414792,2018-08-13 18:25:43,DELIVERY_ESTIMATED,2018-08-17,,
164854,414960,2018-08-13 19:31:38,PICKUP_SCHEDULED,2018-08-14,FLOCK,TRUE
164854,414961,2018-08-13 19:31:58,DELIVERY_ESTIMATED,2018-08-20,FLOCK,
164812,414688,2018-08-13 18:02:50,PICKUP_SCHEDULED,2018-08-13,,
164812,414689,2018-08-13 18:02:50,DELIVERY_ESTIMATED,2018-08-17,,
164812,415077,2018-08-13 20:16:39,PICKUP_SCHEDULED,2018-08-13,,
164812,415078,2018-08-13 20:16:39,DELIVERY_ESTIMATED,2018-08-16,,
164812,415079,2018-08-13 20:17:02,PICKUP_SCHEDULED,2018-08-14,FLOCK,TRUE
164812,415081,2018-08-13 20:17:16,PICKUP_SCHEDULED,2018-08-14,FLOCK,TRUE
164812,415082,2018-08-13 20:17:34,PICKUP_SCHEDULED,2018-08-14,FLOCK,TRUE
164812,415085,2018-08-13 20:18:09,PICKUP_SCHEDULED,2018-08-14,FLOCK,TRUE
164793,415652,2018-08-14 2:33:39,PICKUP_SCHEDULED,2018-08-15,,
164793,415653,2018-08-14 2:33:39,DELIVERY_ESTIMATED,2018-08-17,,
164793,415654,2018-08-14 2:34:48,PICKUP_SCHEDULED,2018-08-13,CUSTOMER,TRUE
164793,415655,2018-08-14 2:35:36,DELIVERY_ESTIMATED,2018-08-15,CUSTOMER,
164793,415656,2018-08-14 2:36:20,PICKUP_SCHEDULED,2018-08-13,CUSTOMER,TRUE
164793,415657,2018-08-14 2:36:36,DELIVERY_ESTIMATED,2018-08-15,CUSTOMER,
164765,414540,2018-08-13 16:55:53,PICKUP_SCHEDULED,2018-08-13,,
164765,414541,2018-08-13 16:55:53,DELIVERY_ESTIMATED,2018-08-20,,
164765,414947,2018-08-13 19:26:45,PICKUP_SCHEDULED,2018-08-14,CUSTOMER,TRUE
164765,414948,2018-08-13 19:26:54,DELIVERY_ESTIMATED,2018-08-21,CUSTOMER,
164734,414641,2018-08-13 17:46:40,PICKUP_SCHEDULED,2018-08-13,,
164734,414642,2018-08-13 17:46:40,DELIVERY_ESTIMATED,2018-08-17,,
164734,415454,2018-08-13 22:38:42,PICKUP_SCHEDULED,2018-08-14,CARRIER,TRUE
164734,415455,2018-08-13 22:39:03,DELIVERY_ESTIMATED,2018-08-20,CARRIER,
164729,414749,2018-08-13 18:12:55,PICKUP_SCHEDULED,2018-08-13,,
164729,414750,2018-08-13 18:12:55,DELIVERY_ESTIMATED,2018-08-14,,
164729,414942,2018-08-13 19:24:22,PICKUP_SCHEDULED,2018-08-14,CUSTOMER,TRUE
164729,414946,2018-08-13 19:24:46,DELIVERY_ESTIMATED,2018-08-15,CUSTOMER,
164720,414505,2018-08-13 16:38:00,PICKUP_SCHEDULED,2018-08-13,,
164720,414506,2018-08-13 16:38:00,DELIVERY_ESTIMATED,2018-08-15,,
164720,416172,2018-08-14 12:49:39,PICKUP_SCHEDULED,2018-08-14,CUSTOMER,TRUE
164720,416173,2018-08-14 12:50:08,DELIVERY_ESTIMATED,2018-08-16,CUSTOMER,
164710,415293,2018-08-13 21:21:28,PICKUP_SCHEDULED,2018-08-13,,
164710,415294,2018-08-13 21:21:28,DELIVERY_ESTIMATED,2018-08-15,,
164710,415297,2018-08-13 21:21:59,PICKUP_SCHEDULED,2018-08-14,FLOCK,TRUE
164710,415307,2018-08-13 21:23:53,PICKUP_SCHEDULED,2018-08-14,FLOCK,TRUE
164698,414656,2018-08-13 17:51:52,PICKUP_SCHEDULED,2018-08-13,,
164698,414657,2018-08-13 17:51:52,DELIVERY_ESTIMATED,2018-08-20,,
164698,415600,2018-08-14 1:24:31,PICKUP_SCHEDULED,2018-08-14,CARRIER,TRUE
164698,415601,2018-08-14 1:25:13,DELIVERY_ESTIMATED,2018-08-21,CARRIER,
164688,414545,2018-08-13 16:56:53,PICKUP_SCHEDULED,2018-08-13,,
164688,414546,2018-08-13 16:56:53,DELIVERY_ESTIMATED,2018-08-14,,
164688,414987,2018-08-13 19:46:33,PICKUP_SCHEDULED,2018-08-14,CUSTOMER,TRUE
164688,414989,2018-08-13 19:46:49,DELIVERY_ESTIMATED,2018-08-15,CUSTOMER,
164666,414433,2018-08-13 16:05:40,PICKUP_SCHEDULED,2018-08-13,,
164666,414434,2018-08-13 16:05:40,DELIVERY_ESTIMATED,2018-08-15,,
164666,414643,2018-08-13 17:47:49,PICKUP_SCHEDULED,2018-08-14,CUSTOMER,TRUE
164666,414644,2018-08-13 17:48:20,DELIVERY_ESTIMATED,2018-08-16,CUSTOMER,
164659,414795,2018-08-13 18:28:14,PICKUP_SCHEDULED,2018-08-13,,
164659,414796,2018-08-13 18:28:14,DELIVERY_ESTIMATED,2018-08-14,,
164659,414797,2018-08-13 18:28:40,PICKUP_SCHEDULED,2018-08-14,FLOCK,TRUE
164659,414798,2018-08-13 18:28:57,PICKUP_SCHEDULED,2018-08-14,FLOCK,TRUE
164659,414799,2018-08-13 18:29:11,PICKUP_SCHEDULED,2018-08-14,FLOCK,TRUE
164659,414800,2018-08-13 18:29:26,PICKUP_SCHEDULED,2018-08-14,FLOCK,TRUE
164659,414801,2018-08-13 18:30:06,PICKUP_SCHEDULED,2018-08-14,FLOCK,TRUE
164624,416804,2018-08-14 16:53:59,PICKUP_SCHEDULED,2018-08-14,,
164624,416805,2018-08-14 16:53:59,DELIVERY_ESTIMATED,2018-08-20,,
164624,416812,2018-08-14 16:59:22,PICKUP_SCHEDULED,2018-08-15,CUSTOMER,TRUE
164596,414491,2018-08-13 16:24:06,PICKUP_SCHEDULED,2018-08-13,,
164596,414492,2018-08-13 16:24:06,DELIVERY_ESTIMATED,2018-08-15,,
164596,414625,2018-08-13 17:39:12,PICKUP_SCHEDULED,2018-08-15,CUSTOMER,TRUE
164596,414626,2018-08-13 17:40:20,DELIVERY_ESTIMATED,2018-08-17,CUSTOMER,
164595,414232,2018-08-13 14:43:18,PICKUP_SCHEDULED,2018-08-13,,
164595,414233,2018-08-13 14:43:18,DELIVERY_ESTIMATED,2018-08-14,,
164595,415816,2018-08-14 4:35:14,PICKUP_SCHEDULED,2018-08-14,CARRIER,TRUE
164595,415817,2018-08-14 4:35:41,DELIVERY_ESTIMATED,2018-08-15,CARRIER,
164584,414331,2018-08-13 15:18:21,PICKUP_SCHEDULED,2018-08-13,,
164584,414332,2018-08-13 15:18:21,DELIVERY_ESTIMATED,2018-08-14,,
164584,416541,2018-08-14 15:24:28,PICKUP_SCHEDULED,2018-08-14,CUSTOMER,TRUE
164584,416542,2018-08-14 15:24:43,DELIVERY_ESTIMATED,2018-08-15,CUSTOMER,
164572,414090,2018-08-13 13:46:02,PICKUP_SCHEDULED,2018-08-13,,
164572,414091,2018-08-13 13:46:02,DELIVERY_ESTIMATED,2018-08-15,,
164572,416154,2018-08-14 12:38:34,PICKUP_SCHEDULED,2018-08-14,CARRIER,TRUE
164572,416155,2018-08-14 12:38:52,DELIVERY_ESTIMATED,2018-08-16,CARRIER,
164566,414129,2018-08-13 14:04:24,PICKUP_SCHEDULED,2018-08-13,,
